{sub_5, obj_38, read}
{sub_39, obj_3, read}
{sub_10, obj_33, read}
{sub_26, obj_28, read}
{sub_30, obj_45, read}
{sub_39, obj_18, read}
{sub_25, obj_11, read}
{sub_11, obj_26, read}
{sub_20, obj_21, read}
{sub_11, obj_28, read}
{sub_28, obj_30, read}
{sub_10, obj_20, read}
{sub_23, obj_10, read}
{sub_16, obj_3, read}
{sub_44, obj_13, read}
{sub_37, obj_27, read}
{sub_7, obj_6, read}
{sub_24, obj_19, read}
{sub_8, obj_42, read}
{sub_2, obj_37, read}
{sub_33, obj_30, read}
{sub_44, obj_19, read}
{sub_10, obj_36, read}
{sub_38, obj_42, read}
{sub_43, obj_39, read}
{sub_26, obj_37, read}
{sub_41, obj_14, read}
{sub_32, obj_40, read}
{sub_34, obj_42, read}
{sub_39, obj_30, read}
{sub_38, obj_44, read}
{sub_16, obj_36, read}
{sub_3, obj_43, read}
{sub_16, obj_38, read}
{sub_1, obj_6, read}
{sub_5, obj_9, read}
{sub_1, obj_14, read}
{sub_16, obj_28, read}
{sub_16, obj_4, read}
{sub_8, obj_40, read}
{sub_7, obj_27, read}
{sub_34, obj_36, read}
{sub_37, obj_26, read}
{sub_39, obj_10, read}
{sub_5, obj_45, read}
{sub_29, obj_12, read}
{sub_17, obj_40, read}
{sub_38, obj_3, read}
{sub_34, obj_44, read}
{sub_6, obj_45, read}
{sub_17, obj_45, read}
{sub_6, obj_39, read}
{sub_16, obj_34, read}
{sub_19, obj_2, read}
{sub_29, obj_21, read}
{sub_33, obj_41, read}
{sub_5, obj_30, read}
{sub_33, obj_6, read}
{sub_4, obj_16, read}
{sub_31, obj_30, read}
{sub_12, obj_38, read}
{sub_37, obj_10, read}
{sub_4, obj_6, read}
{sub_22, obj_2, read}
{sub_15, obj_35, read}
{sub_17, obj_36, read}
{sub_4, obj_12, read}
{sub_16, obj_26, read}
{sub_36, obj_32, read}
{sub_9, obj_2, read}
{sub_13, obj_21, read}
{sub_28, obj_27, read}
{sub_44, obj_10, read}
{sub_13, obj_36, read}
{sub_22, obj_25, read}
{sub_30, obj_43, read}
{sub_29, obj_38, read}
{sub_35, obj_28, read}
{sub_11, obj_45, read}
{sub_10, obj_24, read}
{sub_27, obj_39, read}
{sub_40, obj_1, read}
{sub_2, obj_18, read}
{sub_21, obj_8, read}
{sub_25, obj_33, read}
{sub_34, obj_39, read}
{sub_16, obj_6, read}
{sub_14, obj_45, read}
{sub_39, obj_6, read}
{sub_13, obj_17, read}
{sub_4, obj_44, read}
{sub_43, obj_16, read}
{sub_20, obj_32, read}
{sub_9, obj_30, read}
{sub_45, obj_32, read}
{sub_19, obj_33, read}
{sub_27, obj_37, read}
{sub_31, obj_28, read}
{sub_26, obj_14, read}
{sub_15, obj_4, read}
{sub_2, obj_16, read}
{sub_18, obj_10, read}
{sub_12, obj_6, read}
{sub_2, obj_35, read}
{sub_11, obj_8, read}
{sub_33, obj_26, read}
{sub_9, obj_31, read}
{sub_1, obj_10, read}
{sub_4, obj_4, read}
{sub_26, obj_3, read}
{sub_4, obj_30, read}
{sub_36, obj_39, read}
{sub_20, obj_11, read}
{sub_25, obj_18, read}
{sub_20, obj_33, read}
{sub_22, obj_14, read}
{sub_35, obj_3, read}
{sub_39, obj_12, read}
{sub_17, obj_10, read}
{sub_45, obj_11, read}
{sub_9, obj_37, read}
{sub_36, obj_19, read}
{sub_21, obj_5, read}
{sub_41, obj_30, read}
{sub_19, obj_11, read}
{sub_18, obj_35, read}
{sub_7, obj_21, read}
{sub_34, obj_16, read}
{sub_2, obj_39, read}
{sub_30, obj_1, read}
{sub_31, obj_10, read}
{sub_12, obj_18, read}
{sub_38, obj_31, read}
{sub_36, obj_2, read}
{sub_40, obj_31, read}
{sub_4, obj_37, read}
{sub_44, obj_42, read}
{sub_44, obj_41, read}
{sub_43, obj_7, read}
{sub_14, obj_24, read}
{sub_38, obj_24, read}
{sub_23, obj_1, read}
{sub_18, obj_23, read}
{sub_26, obj_13, read}
{sub_6, obj_21, read}
{sub_42, obj_11, read}
{sub_42, obj_20, read}
{sub_27, obj_45, read}
{sub_10, obj_12, read}
{sub_41, obj_20, read}
{sub_12, obj_44, read}
{sub_6, obj_5, read}
{sub_17, obj_27, read}
{sub_15, obj_21, read}
{sub_22, obj_37, read}
{sub_20, obj_29, read}
{sub_14, obj_10, read}
{sub_7, obj_12, read}
{sub_43, obj_25, read}
{sub_24, obj_3, read}
{sub_38, obj_15, read}
{sub_6, obj_32, read}
{sub_10, obj_34, read}
{sub_38, obj_19, read}
{sub_44, obj_36, read}
{sub_21, obj_40, read}
{sub_26, obj_39, read}
{sub_36, obj_30, read}
{sub_22, obj_13, read}
{sub_27, obj_7, read}
{sub_28, obj_34, read}
{sub_26, obj_2, read}
{sub_1, obj_21, read}
{sub_28, obj_4, read}
{sub_30, obj_2, read}
{sub_40, obj_27, read}
{sub_21, obj_2, read}
{sub_17, obj_31, read}
{sub_36, obj_20, read}
{sub_18, obj_43, read}
{sub_33, obj_27, read}
{sub_3, obj_10, read}
{sub_12, obj_34, read}
{sub_16, obj_32, read}
{sub_24, obj_31, read}
{sub_29, obj_22, read}
{sub_38, obj_21, read}
{sub_21, obj_42, read}
{sub_14, obj_5, read}
{sub_30, obj_30, read}
{sub_16, obj_2, read}
{sub_44, obj_8, read}
{sub_2, obj_21, read}
{sub_20, obj_42, read}
{sub_20, obj_44, read}
{sub_44, obj_2, read}
{sub_34, obj_43, read}
{sub_14, obj_28, read}
{sub_5, obj_16, read}
{sub_6, obj_29, read}
{sub_4, obj_45, read}
{sub_4, obj_29, read}
{sub_27, obj_11, read}
{sub_1, obj_3, read}
{sub_45, obj_44, read}
{sub_11, obj_9, read}
{sub_26, obj_31, read}
{sub_14, obj_33, read}
{sub_32, obj_42, read}
{sub_18, obj_36, read}
{sub_26, obj_12, read}
{sub_3, obj_28, read}
{sub_22, obj_1, read}
{sub_41, obj_36, read}
{sub_28, obj_41, read}
{sub_12, obj_41, read}
{sub_36, obj_18, read}
{sub_29, obj_28, read}
{sub_24, obj_16, read}
