Job 1: Waiting time = 9.746616706252098e-05 | Resolution time = 8.872197940945625e-05 | Resolution type = Policy
Job 31: Waiting time = 0.0013271127827465534 | Resolution time = 0.0013074581511318684 | Resolution type = None
Job 32: Waiting time = 0.0004438888281583786 | Resolution time = 0.0004283939488232136 | Resolution type = Policy
Job 33: Waiting time = 0.0012582461349666119 | Resolution time = 0.0012252242304384708 | Resolution type = None
Job 34: Waiting time = 0.0011436641216278076 | Resolution time = 0.001128890085965395 | Resolution type = None
Job 35: Waiting time = 0.001035535242408514 | Resolution time = 0.0010205772705376148 | Resolution type = None
Job 36: Waiting time = 0.0002661319449543953 | Resolution time = 0.000251011922955513 | Resolution type = Policy
Job 37: Waiting time = 4.5788008719682693e-05 | Resolution time = 3.02228145301342e-05 | Resolution type = Policy
Job 38: Waiting time = 0.0006682439707219601 | Resolution time = 0.0006560711190104485 | Resolution type = Policy
Job 39: Waiting time = 0.0005717603489756584 | Resolution time = 0.0005536801181733608 | Resolution type = Policy
Job 40: Waiting time = 0.00043608294799923897 | Resolution time = 0.0004218430258333683 | Resolution type = Policy
Job 41: Waiting time = 0.0011942298151552677 | Resolution time = 0.0011776168830692768 | Resolution type = None
Job 42: Waiting time = 0.00048803118988871574 | Resolution time = 0.0004738462157547474 | Resolution type = Policy
Job 43: Waiting time = 0.0011796248145401478 | Resolution time = 0.0011607520282268524 | Resolution type = None
Job 44: Waiting time = 0.0009987889789044857 | Resolution time = 0.0009857220575213432 | Resolution type = None
Job 45: Waiting time = 0.00041848840191960335 | Resolution time = 0.0003846702165901661 | Resolution type = Policy
Job 46: Waiting time = 0.0011060950346291065 | Resolution time = 0.0010922085493803024 | Resolution type = None
Job 47: Waiting time = 0.0005640280432999134 | Resolution time = 0.000551076140254736 | Resolution type = Policy
Job 48: Waiting time = 0.001012706197798252 | Resolution time = 0.0009927880018949509 | Resolution type = None
Job 49: Waiting time = 0.0004972722381353378 | Resolution time = 0.0004814472049474716 | Resolution type = Policy
Job 50: Waiting time = 0.0005734190344810486 | Resolution time = 0.0005583860911428928 | Resolution type = Policy
Job 51: Waiting time = 0.0010490063577890396 | Resolution time = 0.0010341228917241096 | Resolution type = None
Job 52: Waiting time = 0.00021595600992441177 | Resolution time = 0.00020227720960974693 | Resolution type = Policy
Job 53: Waiting time = 0.001166241243481636 | Resolution time = 0.001152021810412407 | Resolution type = None
Job 54: Waiting time = 0.00012535322457551956 | Resolution time = 0.00010979780927300453 | Resolution type = Policy
Job 55: Waiting time = 0.0011217962019145489 | Resolution time = 0.0011024847626686096 | Resolution type = None
Job 56: Waiting time = 9.103771299123764e-05 | Resolution time = 7.571512833237648e-05 | Resolution type = Policy
Job 57: Waiting time = 0.0002128048799932003 | Resolution time = 0.00019436143338680267 | Resolution type = Policy
Job 58: Waiting time = 0.0009633940644562244 | Resolution time = 0.0009478437714278698 | Resolution type = None
Job 59: Waiting time = 0.000389875378459692 | Resolution time = 0.0003755539655685425 | Resolution type = Policy
Job 60: Waiting time = 0.0008310610428452492 | Resolution time = 0.0008152867667376995 | Resolution type = Policy
Job 61: Waiting time = 0.00026723695918917656 | Resolution time = 0.00025167036801576614 | Resolution type = Policy
Job 62: Waiting time = 0.001164969988167286 | Resolution time = 0.0011469749733805656 | Resolution type = None
Job 63: Waiting time = 0.0009982958436012268 | Resolution time = 0.0009840195998549461 | Resolution type = None
Job 64: Waiting time = 0.001138327643275261 | Resolution time = 0.0011250963434576988 | Resolution type = None

----- VACATION Started -----
Start time: 0.9789942619390786
Duration: 12.138959948904812
Jobs in the system: 734
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 65: Waiting time = 12.13426126493141 | Resolution time = 0.0010217130184173584 | Resolution type = None
Job 66: Waiting time = 12.121426186989993 | Resolution time = 0.00011716596782207489 | Resolution type = None
Job 67: Waiting time = 12.106328399851918 | Resolution time = 0.00013268226757645607 | Resolution type = None
Job 68: Waiting time = 12.09424212994054 | Resolution time = 0.00012122234329581261 | Resolution type = None
Job 69: Waiting time = 12.082762705162168 | Resolution time = 0.00013847509399056435 | Resolution type = None
Job 70: Waiting time = 12.07343032490462 | Resolution time = 0.0001168479211628437 | Resolution type = None
Job 71: Waiting time = 12.0626662960276 | Resolution time = 0.00013545993715524673 | Resolution type = None
Job 72: Waiting time = 12.049158750567585 | Resolution time = 0.00012237904593348503 | Resolution type = None
Job 73: Waiting time = 12.036524285096675 | Resolution time = 0.00012461096048355103 | Resolution type = None
Job 74: Waiting time = 12.021102118771523 | Resolution time = 0.0001293681561946869 | Resolution type = None
Job 75: Waiting time = 12.010040534194559 | Resolution time = 0.00011758273467421532 | Resolution type = None
Job 76: Waiting time = 12.000120761804283 | Resolution time = 0.00012676231563091278 | Resolution type = None
Job 77: Waiting time = 11.985028977040201 | Resolution time = 0.0001238700933754444 | Resolution type = None
Job 78: Waiting time = 11.970776967238635 | Resolution time = 0.0001164926216006279 | Resolution type = None
Job 79: Waiting time = 11.951937039848417 | Resolution time = 0.00011752545833587646 | Resolution type = None
Job 80: Waiting time = 11.936149709858 | Resolution time = 0.00011924607679247856 | Resolution type = None
Job 81: Waiting time = 11.922443598043174 | Resolution time = 0.00011808238923549652 | Resolution type = None
Job 82: Waiting time = 11.905645385850221 | Resolution time = 0.0001225750893354416 | Resolution type = None
Job 83: Waiting time = 11.888706109952182 | Resolution time = 0.00011852476745843887 | Resolution type = None
Job 84: Waiting time = 11.871148821897805 | Resolution time = 0.00015752995386719704 | Resolution type = None
Job 85: Waiting time = 11.855918848421425 | Resolution time = 0.00011443113908171654 | Resolution type = None
Job 86: Waiting time = 11.840924526099116 | Resolution time = 0.00011076079681515694 | Resolution type = None
Job 87: Waiting time = 11.825494060758501 | Resolution time = 0.00013933517038822174 | Resolution type = None
Job 88: Waiting time = 11.803465184289962 | Resolution time = 0.0001335320994257927 | Resolution type = None
Job 89: Waiting time = 11.784067186061293 | Resolution time = 0.00013703946024179459 | Resolution type = None
Job 90: Waiting time = 11.768048441968858 | Resolution time = 0.0001507708802819252 | Resolution type = None
Job 91: Waiting time = 11.756325042340904 | Resolution time = 0.00013463804498314857 | Resolution type = None
Job 92: Waiting time = 11.739064460154623 | Resolution time = 0.00014836201444268227 | Resolution type = None
Job 93: Waiting time = 11.725251523777843 | Resolution time = 0.00012305192649364471 | Resolution type = None
Job 94: Waiting time = 11.70910918712616 | Resolution time = 0.00011593615636229515 | Resolution type = None
Job 95: Waiting time = 11.682448884937912 | Resolution time = 0.0001220223493874073 | Resolution type = None
Job 96: Waiting time = 11.666131359990686 | Resolution time = 0.00011570332571864128 | Resolution type = None
Job 97: Waiting time = 11.651995372958481 | Resolution time = 0.0001154937781393528 | Resolution type = None
Job 98: Waiting time = 11.629460484255105 | Resolution time = 0.00011869426816701889 | Resolution type = None
Job 99: Waiting time = 11.610546431969851 | Resolution time = 0.0001372029073536396 | Resolution type = None
Job 100: Waiting time = 11.593538817949593 | Resolution time = 0.0001093442551791668 | Resolution type = None
Job 101: Waiting time = 11.57839441113174 | Resolution time = 0.00010962598025798798 | Resolution type = None
Job 102: Waiting time = 11.555830026976764 | Resolution time = 0.00010855169966816902 | Resolution type = None
Job 103: Waiting time = 11.545955868903548 | Resolution time = 0.0001361612230539322 | Resolution type = None
Job 104: Waiting time = 11.526197913102806 | Resolution time = 0.00010940711945295334 | Resolution type = None
Job 105: Waiting time = 11.505392983090132 | Resolution time = 0.00012523122131824493 | Resolution type = None
Job 106: Waiting time = 11.490267141256481 | Resolution time = 0.00013346411287784576 | Resolution type = None
Job 107: Waiting time = 11.47690239502117 | Resolution time = 0.00014830101281404495 | Resolution type = None
Job 108: Waiting time = 11.456870287191123 | Resolution time = 0.00011641299352049828 | Resolution type = None
Job 109: Waiting time = 11.435711830388755 | Resolution time = 0.00011994270607829094 | Resolution type = None
Job 110: Waiting time = 11.422307548113167 | Resolution time = 0.00011660205200314522 | Resolution type = None
Job 111: Waiting time = 11.411927974782884 | Resolution time = 0.00012038834393024445 | Resolution type = None
Job 112: Waiting time = 11.394261499866843 | Resolution time = 0.00011551519855856895 | Resolution type = None
Job 113: Waiting time = 11.380400188732892 | Resolution time = 0.00011639576405286789 | Resolution type = None
Job 114: Waiting time = 11.361172802746296 | Resolution time = 0.00011862767860293388 | Resolution type = None
Job 115: Waiting time = 11.340425142087042 | Resolution time = 0.0001439177431166172 | Resolution type = None
Job 116: Waiting time = 11.324401060119271 | Resolution time = 0.00011022621765732765 | Resolution type = None
Job 117: Waiting time = 11.297549333889037 | Resolution time = 0.00011357804760336876 | Resolution type = None
Job 118: Waiting time = 11.282493685837835 | Resolution time = 0.00012304633855819702 | Resolution type = None
Job 119: Waiting time = 11.273976667318493 | Resolution time = 0.00010319240391254425 | Resolution type = None
Job 120: Waiting time = 11.254893376957625 | Resolution time = 0.00010256795212626457 | Resolution type = None
Job 121: Waiting time = 11.237247174140066 | Resolution time = 0.00012939190492033958 | Resolution type = None
Job 122: Waiting time = 11.215580582153052 | Resolution time = 0.00011995481327176094 | Resolution type = None
Job 123: Waiting time = 11.199074688833207 | Resolution time = 0.00012159207835793495 | Resolution type = None
Job 124: Waiting time = 11.186362747102976 | Resolution time = 0.0001274608075618744 | Resolution type = None
Job 125: Waiting time = 11.162583886180073 | Resolution time = 0.00013490859419107437 | Resolution type = None
Job 126: Waiting time = 11.143547364044935 | Resolution time = 0.00012159813195466995 | Resolution type = None
Job 127: Waiting time = 11.120453911833465 | Resolution time = 0.00012021372094750404 | Resolution type = None
Job 128: Waiting time = 11.104192197788507 | Resolution time = 0.00011556828394532204 | Resolution type = None
Normal period 2 ended!

----- VACATION Started -----
Start time: 13.127242487855256
Duration: 11.254060781095177
Jobs in the system: 1340
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 129: Waiting time = 22.344945416785777 | Resolution time = 0.0003305249847471714 | Resolution type = None
Job 130: Waiting time = 22.333564077038318 | Resolution time = 0.0001158365048468113 | Resolution type = None
Job 131: Waiting time = 22.321077110245824 | Resolution time = 0.00010381406173110008 | Resolution type = None
Job 132: Waiting time = 22.29825079301372 | Resolution time = 9.869318455457687e-05 | Resolution type = None
Job 133: Waiting time = 22.28518237406388 | Resolution time = 9.80328768491745e-05 | Resolution type = None
Job 134: Waiting time = 22.270249601919204 | Resolution time = 9.82559286057949e-05 | Resolution type = None
Job 135: Waiting time = 22.2599763488397 | Resolution time = 0.0001024850644171238 | Resolution type = None
Job 136: Waiting time = 22.243022902868688 | Resolution time = 0.00010284269228577614 | Resolution type = None
Job 137: Waiting time = 22.227105461992323 | Resolution time = 0.0001322380267083645 | Resolution type = None
Job 138: Waiting time = 22.210087372921407 | Resolution time = 9.92962159216404e-05 | Resolution type = None
Job 139: Waiting time = 22.19674470508471 | Resolution time = 9.72989946603775e-05 | Resolution type = None
Job 140: Waiting time = 22.18925366504118 | Resolution time = 0.00010015023872256279 | Resolution type = None
Job 141: Waiting time = 22.166618143673986 | Resolution time = 0.00010236259549856186 | Resolution type = None
Job 142: Waiting time = 22.136554338037968 | Resolution time = 0.00012062489986419678 | Resolution type = None
Job 143: Waiting time = 22.11918046278879 | Resolution time = 0.00010381964966654778 | Resolution type = None
Job 144: Waiting time = 22.090407877694815 | Resolution time = 0.00010282592847943306 | Resolution type = None
Job 145: Waiting time = 22.07159394910559 | Resolution time = 0.00015336088836193085 | Resolution type = None
Job 146: Waiting time = 22.059118245728314 | Resolution time = 0.00010959012433886528 | Resolution type = None
Job 147: Waiting time = 22.041978321038187 | Resolution time = 0.00011626305058598518 | Resolution type = None
Job 148: Waiting time = 22.03013419592753 | Resolution time = 9.771762415766716e-05 | Resolution type = None
Job 149: Waiting time = 22.01550334924832 | Resolution time = 0.00010042591020464897 | Resolution type = None
Job 150: Waiting time = 21.995684727095068 | Resolution time = 0.00010180613026022911 | Resolution type = None
Job 151: Waiting time = 21.98351359879598 | Resolution time = 9.789597243070602e-05 | Resolution type = None
Job 152: Waiting time = 21.965880625881255 | Resolution time = 9.964779019355774e-05 | Resolution type = None
Job 153: Waiting time = 21.947744195815176 | Resolution time = 0.00015698419883847237 | Resolution type = None
Job 154: Waiting time = 21.936967252753675 | Resolution time = 0.00011569401249289513 | Resolution type = None
Job 155: Waiting time = 21.928396658040583 | Resolution time = 0.00011161481961607933 | Resolution type = None
Job 156: Waiting time = 21.903620531782508 | Resolution time = 0.00011493498459458351 | Resolution type = None
Job 157: Waiting time = 21.882494777906686 | Resolution time = 0.00011370005086064339 | Resolution type = None
Job 158: Waiting time = 21.864968209993094 | Resolution time = 0.00011456990614533424 | Resolution type = None
Job 159: Waiting time = 21.85465931892395 | Resolution time = 0.0001111556775867939 | Resolution type = None
Job 160: Waiting time = 21.831437499728054 | Resolution time = 0.00011431332677602768 | Resolution type = None
Job 161: Waiting time = 21.81277222884819 | Resolution time = 3.7709251046180725e-06 | Resolution type = Policy
Job 162: Waiting time = 21.800375413615257 | Resolution time = 0.00013370858505368233 | Resolution type = None
Job 163: Waiting time = 21.79033670388162 | Resolution time = 0.0001160353422164917 | Resolution type = None
Job 164: Waiting time = 21.77163526043296 | Resolution time = 0.0001254938542842865 | Resolution type = None
Job 165: Waiting time = 21.75827616592869 | Resolution time = 0.0001030447892844677 | Resolution type = None
Job 166: Waiting time = 21.735915502998978 | Resolution time = 0.00010445015504956245 | Resolution type = None
Job 167: Waiting time = 21.7241904232651 | Resolution time = 0.00010548299178481102 | Resolution type = None
Job 168: Waiting time = 21.706013267859817 | Resolution time = 0.0001073232851922512 | Resolution type = None
Job 169: Waiting time = 21.692550854757428 | Resolution time = 0.0001162937842309475 | Resolution type = None
Job 170: Waiting time = 21.676699652336538 | Resolution time = 9.651528671383858e-05 | Resolution type = None
Job 171: Waiting time = 21.654208260122687 | Resolution time = 0.00015267124399542809 | Resolution type = None
Job 172: Waiting time = 21.634412759914994 | Resolution time = 0.0001066429540514946 | Resolution type = None
Job 173: Waiting time = 21.62071202741936 | Resolution time = 0.0001088213175535202 | Resolution type = None
Job 174: Waiting time = 21.597152689937502 | Resolution time = 0.00010792724788188934 | Resolution type = None
Job 175: Waiting time = 21.58381543122232 | Resolution time = 0.00011046836152672768 | Resolution type = None
Job 176: Waiting time = 21.564373541157693 | Resolution time = 0.00010313699021935463 | Resolution type = None
Job 177: Waiting time = 21.547625878825784 | Resolution time = 0.00010711513459682465 | Resolution type = None
Job 178: Waiting time = 21.53291334398091 | Resolution time = 0.00010430114343762398 | Resolution type = None
Job 179: Waiting time = 21.50746527593583 | Resolution time = 0.0001065647229552269 | Resolution type = None
Job 180: Waiting time = 21.49489878723398 | Resolution time = 0.00011567678302526474 | Resolution type = None
Job 181: Waiting time = 21.47104845708236 | Resolution time = 0.0001031355932354927 | Resolution type = None
Job 182: Waiting time = 21.45209666294977 | Resolution time = 0.00010744854807853699 | Resolution type = None
Job 183: Waiting time = 21.434745231177658 | Resolution time = 0.00011417688801884651 | Resolution type = None
Job 184: Waiting time = 21.414474275894463 | Resolution time = 9.808456525206566e-05 | Resolution type = None
Job 185: Waiting time = 21.395804881118238 | Resolution time = 0.00010195095092058182 | Resolution type = None
Job 186: Waiting time = 21.384082469157875 | Resolution time = 0.00010213814675807953 | Resolution type = None
Job 187: Waiting time = 21.370883495081216 | Resolution time = 9.737024083733559e-05 | Resolution type = None
Job 188: Waiting time = 21.354854778852314 | Resolution time = 0.00013137375935912132 | Resolution type = None
Job 189: Waiting time = 21.340297435875982 | Resolution time = 0.0001558428630232811 | Resolution type = None
Job 190: Waiting time = 21.32148396736011 | Resolution time = 0.00012708967551589012 | Resolution type = None
Job 191: Waiting time = 21.3038873039186 | Resolution time = 0.0001126900315284729 | Resolution type = None
Job 192: Waiting time = 21.286600093822926 | Resolution time = 0.0001185867004096508 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 24.389112854842097
Duration: 11.335487074684352
Jobs in the system: 1958
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 193: Waiting time = 32.61188914300874 | Resolution time = 0.00033398624509572983 | Resolution type = None
Job 194: Waiting time = 32.599293240346014 | Resolution time = 0.00023203808814287186 | Resolution type = None
Job 195: Waiting time = 32.5848099058494 | Resolution time = 0.00025085825473070145 | Resolution type = None
Job 196: Waiting time = 32.569336268119514 | Resolution time = 0.00021841423586010933 | Resolution type = None
Job 197: Waiting time = 32.55019003013149 | Resolution time = 0.00021310802549123764 | Resolution type = None
Job 198: Waiting time = 32.53097605193034 | Resolution time = 0.0002159029245376587 | Resolution type = None
Job 199: Waiting time = 32.50392037909478 | Resolution time = 0.00025989022105932236 | Resolution type = None
Job 200: Waiting time = 32.49072328908369 | Resolution time = 6.231013685464859e-06 | Resolution type = Policy
Job 201: Waiting time = 32.47490271786228 | Resolution time = 0.00021035410463809967 | Resolution type = None
Job 202: Waiting time = 32.45674825599417 | Resolution time = 0.00019931094720959663 | Resolution type = None
Job 203: Waiting time = 32.44235623581335 | Resolution time = 0.0001945910044014454 | Resolution type = None
Job 204: Waiting time = 32.43018722906709 | Resolution time = 0.00019450439140200615 | Resolution type = None
Job 205: Waiting time = 32.415382453706115 | Resolution time = 0.00019850721582770348 | Resolution type = None
Job 206: Waiting time = 32.39687931910157 | Resolution time = 0.0001583457924425602 | Resolution type = None
Job 207: Waiting time = 32.38503296021372 | Resolution time = 0.0001115286722779274 | Resolution type = None
Job 208: Waiting time = 32.37066553905606 | Resolution time = 0.00011079059913754463 | Resolution type = None
Job 209: Waiting time = 32.355466802138835 | Resolution time = 0.00011105090379714966 | Resolution type = None
Job 210: Waiting time = 32.34483813494444 | Resolution time = 0.0001278109848499298 | Resolution type = None
Job 211: Waiting time = 32.33634456573054 | Resolution time = 0.00011336524039506912 | Resolution type = None
Job 212: Waiting time = 32.320397917646915 | Resolution time = 0.00011581787839531898 | Resolution type = None
Job 213: Waiting time = 32.30462770583108 | Resolution time = 0.00015120161697268486 | Resolution type = None
Job 214: Waiting time = 32.286112419795245 | Resolution time = 0.00011638319119811058 | Resolution type = None
Job 215: Waiting time = 32.27157219406217 | Resolution time = 0.00011454522609710693 | Resolution type = None
Job 216: Waiting time = 32.24912521895021 | Resolution time = 0.00011198315769433975 | Resolution type = None
Job 217: Waiting time = 32.23272651806474 | Resolution time = 0.00013258075341582298 | Resolution type = None
Job 218: Waiting time = 32.21911537786946 | Resolution time = 0.00011580809950828552 | Resolution type = None
Job 219: Waiting time = 32.2014658539556 | Resolution time = 0.00011361530050635338 | Resolution type = None
Job 220: Waiting time = 32.19237044919282 | Resolution time = 0.00014579063281416893 | Resolution type = None
Job 221: Waiting time = 32.17353459587321 | Resolution time = 0.00012237997725605965 | Resolution type = None
Job 222: Waiting time = 32.15470041008666 | Resolution time = 0.00013566715642809868 | Resolution type = None
Job 223: Waiting time = 32.13618433987722 | Resolution time = 0.00010653957724571228 | Resolution type = None
Job 224: Waiting time = 32.12011753907427 | Resolution time = 0.00010382616892457008 | Resolution type = None
Job 225: Waiting time = 32.09652707306668 | Resolution time = 0.00010062148794531822 | Resolution type = None
Job 226: Waiting time = 32.083200762048364 | Resolution time = 0.00012972392141819 | Resolution type = None
Job 227: Waiting time = 32.067588582169265 | Resolution time = 0.00011316407471895218 | Resolution type = None
Job 228: Waiting time = 32.049542636144906 | Resolution time = 0.00010750163346529007 | Resolution type = None
Job 229: Waiting time = 32.0324273169972 | Resolution time = 3.873370587825775e-06 | Resolution type = Policy
Job 230: Waiting time = 32.02105924626812 | Resolution time = 0.0001474502496421337 | Resolution type = None
Job 231: Waiting time = 32.007773319259286 | Resolution time = 0.00011379551142454147 | Resolution type = None
Job 232: Waiting time = 31.994858782272786 | Resolution time = 0.00011937040835618973 | Resolution type = None
Job 233: Waiting time = 31.98355870693922 | Resolution time = 0.000113652553409338 | Resolution type = None
Job 234: Waiting time = 31.96428142208606 | Resolution time = 0.00011365488171577454 | Resolution type = None
Job 235: Waiting time = 31.953588711097836 | Resolution time = 3.5688281059265137e-06 | Resolution type = Policy
Job 236: Waiting time = 31.933402935042977 | Resolution time = 0.0001264391466975212 | Resolution type = None
Job 237: Waiting time = 31.918940511066467 | Resolution time = 0.00013648578897118568 | Resolution type = None
Job 238: Waiting time = 31.904820697847754 | Resolution time = 0.00012532714754343033 | Resolution type = None
Job 239: Waiting time = 31.882744210772216 | Resolution time = 0.00011477898806333542 | Resolution type = None
Job 240: Waiting time = 31.87420657975599 | Resolution time = 0.00011491309851408005 | Resolution type = None
Job 241: Waiting time = 31.85648673027754 | Resolution time = 0.00011391891166567802 | Resolution type = None
Job 242: Waiting time = 31.840435680001974 | Resolution time = 0.00011878786608576775 | Resolution type = None
Job 243: Waiting time = 31.82617544895038 | Resolution time = 0.00011274730786681175 | Resolution type = None
Job 244: Waiting time = 31.806467157788575 | Resolution time = 0.0001132860779762268 | Resolution type = None
Job 245: Waiting time = 31.79264299105853 | Resolution time = 3.1921081244945526e-06 | Resolution type = Policy
Job 246: Waiting time = 31.774413652252406 | Resolution time = 0.00011807074770331383 | Resolution type = None
Job 247: Waiting time = 31.74586018221453 | Resolution time = 0.00013298681005835533 | Resolution type = None
Job 248: Waiting time = 31.7383962450549 | Resolution time = 0.00011858250945806503 | Resolution type = None
Job 249: Waiting time = 31.724292893894017 | Resolution time = 0.00011641345918178558 | Resolution type = None
Job 250: Waiting time = 31.697573331184685 | Resolution time = 0.00011803209781646729 | Resolution type = None
Job 251: Waiting time = 31.685652553103864 | Resolution time = 0.00011284416541457176 | Resolution type = None
Job 252: Waiting time = 31.668007730972022 | Resolution time = 0.00011675991117954254 | Resolution type = None
Job 253: Waiting time = 31.65270744264126 | Resolution time = 0.00011424906551837921 | Resolution type = None
Job 254: Waiting time = 31.642911076080054 | Resolution time = 0.00011276360601186752 | Resolution type = None
Job 255: Waiting time = 31.622238425072283 | Resolution time = 0.0001317160204052925 | Resolution type = None
Job 256: Waiting time = 31.605869711842388 | Resolution time = 0.00011926097795367241 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 35.73375556897372
Duration: 11.333250826224685
Jobs in the system: 2583
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 257: Waiting time = 42.92793550807983 | Resolution time = 8.527003228664398e-05 | Resolution type = Policy
Job 258: Waiting time = 42.910110966768116 | Resolution time = 0.0001518363133072853 | Resolution type = None
Job 259: Waiting time = 42.89294582372531 | Resolution time = 0.0001106741838157177 | Resolution type = None
Job 260: Waiting time = 42.877303023822606 | Resolution time = 0.00016335025429725647 | Resolution type = None
Job 261: Waiting time = 42.86663926532492 | Resolution time = 0.00010167993605136871 | Resolution type = None
Job 262: Waiting time = 42.844654043670744 | Resolution time = 0.0001055840402841568 | Resolution type = None
Job 263: Waiting time = 42.831982186064124 | Resolution time = 0.00010034581646323204 | Resolution type = None
Job 264: Waiting time = 42.80902524664998 | Resolution time = 0.00010364316403865814 | Resolution type = None
Job 265: Waiting time = 42.79537998698652 | Resolution time = 0.00010403618216514587 | Resolution type = None
Job 266: Waiting time = 42.78235409222543 | Resolution time = 9.992998093366623e-05 | Resolution type = None
Job 267: Waiting time = 42.76659177429974 | Resolution time = 9.961705654859543e-05 | Resolution type = None
Job 268: Waiting time = 42.754883968736976 | Resolution time = 0.00012091174721717834 | Resolution type = None
Job 269: Waiting time = 42.73918613884598 | Resolution time = 0.00011541275307536125 | Resolution type = None
Job 270: Waiting time = 42.71954849502072 | Resolution time = 0.00012669991701841354 | Resolution type = None
Job 271: Waiting time = 42.701279890257865 | Resolution time = 0.00011436594650149345 | Resolution type = None
Job 272: Waiting time = 42.67858260171488 | Resolution time = 0.00011623837053775787 | Resolution type = None
Job 273: Waiting time = 42.6637768400833 | Resolution time = 0.00011640787124633789 | Resolution type = None
Job 274: Waiting time = 42.645100832916796 | Resolution time = 0.00012151803821325302 | Resolution type = None
Job 275: Waiting time = 42.626236863899976 | Resolution time = 0.00011528423056006432 | Resolution type = None
Job 276: Waiting time = 42.605110386386514 | Resolution time = 0.00014038197696208954 | Resolution type = None
Job 277: Waiting time = 42.588760605081916 | Resolution time = 0.00011336198076605797 | Resolution type = None
Job 278: Waiting time = 42.568317495752126 | Resolution time = 0.0001121661625802517 | Resolution type = None
Job 279: Waiting time = 42.54563587997109 | Resolution time = 0.00014134123921394348 | Resolution type = None
Job 280: Waiting time = 42.531428114976734 | Resolution time = 0.00010280869901180267 | Resolution type = None
Job 281: Waiting time = 42.51602393994108 | Resolution time = 0.00010044407099485397 | Resolution type = None
Job 282: Waiting time = 42.4961412679404 | Resolution time = 9.987782686948776e-05 | Resolution type = None
Job 283: Waiting time = 42.47915330994874 | Resolution time = 9.951600804924965e-05 | Resolution type = None
Job 284: Waiting time = 42.46573214419186 | Resolution time = 0.00010175863280892372 | Resolution type = None
